ID,GENERO,ESTADO_CIVIL,EDAD,GRADO_INSTRUCCION,CONDICION_VIVIENDA,NUMERO_DEPENDIENTES,DPTO_DOMICILIO,ANTIGUEDAD_DOMICILIO,TIPO_TRABAJADOR,TIENE_VEHIVULO,LIQUIDEZDISPONIBLE,ACTIVIDAD_ECONOMICA,DEUDAS_NEGATIVAS,T_D_AC_VEN_MA30_3M,RT_N_ENT_M0_3M,ANTIGUEDAD_LABORAL,UTILIDADOPERATIVA,VENTASNETAS,ENDEUDAMIENTOPATRIMONIAL,MARGENOPERATIVO,CICLOFINANCIERO,SEGMENTO,TARGET
1,F,S,38,MEDIO/SECUNDARIA,PROPIO,2,LAMBAYEQUE,16,INDEPENDIENTE,False,1139,BODEGAS,0,0,0,16,1895,7960,0.22,26.91,59.67,2,0
2,F,S,39,MEDIO/SECUNDARIA,PROPIO,2,LIMA,4,INDEPENDIENTE,False,2877.37,VENTA DE COMIDAS,0,0,0,5,3957.37,1480,0.22,29.98,65.21,3,0
3,M,C,46,PRIMARIA,PROPIO,3,CAJAMARCA,26,INDEPENDIENTE,False,888,OTRAS ACTIVIDADES,0,0,0,5,1338,2880,0.22,24.77,30,1,0
4,F,S,23,TECNICO,DE FAMILIAR,0,LA LIBERTAD,16,INDEPENDIENTE,False,2373,OTRAS ACTIVIDADES,0,0,0,5,3350,1800,0.22,72.82,25.8,3,0
5,F,C,34,MEDIO/SECUNDARIA,DE FAMILIAR,3,LIMA,16,INDEPENDIENTE,False,1353.06,BODEGAS,0,0,0,5,2003.6,82800,0.22,17.27,8.77,3,0
6,M,S,46,TECNICO,DE FAMILIAR,1,PIURA,11,INDEPENDIENTE,False,696,OTRAS ACTIVIDADES,0,0,0,5,1246,3980,0.22,80.9,79.42,2,0
7,F,S,41,PRIMARIA,ALQUILADO,1,CAJAMARCA,2,INDEPENDIENTE,False,281,VENTA AL POR MAYOR DE ANIMALES,0,0,0,5,261,46000,0.22,12.08,253.89,1,0
8,M,C,68,MEDIO/SECUNDARIA,PROPIO,0,LIMA,26,INDEPENDIENTE,True,2243,OTRAS ACTIVIDADES,0,0,0,5,3270,32074,0.22,86.05,0.66,3,0
9,M,C,55,PRIMARIA,PROPIO,2,CAJAMARCA,17,INDEPENDIENTE,False,2257,VENTA DE PRODUCTOS LACTEOS,0,0,0,5,2670,3500,0.22,85.57,47.14,1,0
10,M,S,40,PRIMARIA,PROPIO,2,CUSCO,19,INDEPENDIENTE,False,1070,BODEGAS,0,0,0,5,1580,9600,0.22,51.29,99.75,3,0
11,F,S,32,MEDIO/SECUNDARIA,DE FAMILIAR,2,LORETO,16,INDEPENDIENTE,False,771.8,VENTA DE ROPA -TEXTILES,0,0,0,5,771.8,6360,0.22,14.39,10.93,3,0
12,F,C,54,MEDIO/SECUNDARIA,PROPIO,0,LIMA,21,INDEPENDIENTE,False,505,BODEGAS,0,0,0,5,775,4600,0.22,12.91,32.9,3,0
13,F,C,51,TECNICO,PROPIO,2,LIMA,16,INDEPENDIENTE,False,542.81,ZAPATERIAS,0,1,0,5,742.43,3000,0.22,14.16,24.13,3,0
14,M,S,39,MEDIO/SECUNDARIA,PROPIO,4,HUANCAVELICA,16,INDEPENDIENTE,False,303.9,CRIA DE ANIMALES DOMESTICOS,0,0,0,5,739.9,8700,0.22,24.74,6.81,1,0
15,M,S,34,PRIMARIA,PROPIO,2,AMAZONAS,16,INDEPENDIENTE,False,2845,VENTA AL POR MAYOR DE ANIMALES,0,0,0,5,3500,2520,0.22,9.72,34.5,1,0
16,F,S,38,MEDIO/SECUNDARIA,DE FAMILIAR,2,HUANCAVELICA,36,INDEPENDIENTE,False,451.4,OTRAS ACTIVIDADES,0,0,0,5,1015.4,25680,0.22,14.1,6.95,1,0
17,F,S,27,MEDIO/SECUNDARIA,DE FAMILIAR,1,TACNA,2,INDEPENDIENTE,False,356,VENTA DE COMIDAS,0,0,0,5,1186,4160,0.22,42.97,30,2,0
18,F,S,47,PRIMARIA,DE FAMILIAR,0,ANCASH,16,INDEPENDIENTE,False,674.88,VENTA DE COMIDAS,0,0,1,6,1660.4,14800,0.22,41.92,31.18,3,0
19,M,S,51,MEDIO/SECUNDARIA,PROPIO,1,LIMA,15,INDEPENDIENTE,True,1308.3,VENTA DE CARNE Y DERIVADOS,0,0,0,5,2017,5488,0.22,11.34,30,3,0
